prov_id,com_id,provincia
4,1,Almería
11,1,Cádiz
14,1,Córdoba
18,1,Granada
21,1,Huelva
23,1,Jaén
29,1,Málaga
41,1,Sevilla
22,2,Huesca
44,2,Teruel
50,2,Zaragoza
33,3,Asturias
7,4, Illes Balears
35,5, Las Palmas
38,5,Santa Cruz de Tenerife
39,6,Cantabria
5,7,Ávila
9,7,Burgos
24,7,León
34,7,Palencia
37,7,Salamanca
40,7,Segovia
42,7,Soria
47,7,Valladolid
49,7,Zamora
2,8,Albacete
13,8,Ciudad Real
16,8,Cuenca
19,8,Guadalajara
45,8,Toledo
8,9,Barcelona
17,9,Girona
25,9,Lleida
43,9,Tarragona
3,10,Alicante/Alacant
12,10,Castellón/Castelló
46,10,Valencia/València
6,11,Badajoz
10,11,Cáceres
15,12, A Coruña
27,12,Lugo
32,12,Ourense
36,12,Pontevedra
28,13,Madrid
30,14,Murcia
31,15,Navarra
1,16,Araba/Álava
48,16,Bizkaia
20,16,Gipuzkoa
26,17, La Rioja
51,18,Ceuta
52,19,Melilla
