prov_id,provincia
1,Provincia de Alaba
2,Provincia de Albacete
2,Provincia de Alicante
3,Provincia de Alicante
4,Provincia de Almeria
5,Provincia de avila
6,Provincia de Badajoz
6,Provincia de Salamanca
37,Provincia de Salamanca
37,Provincia de Badajoz
6,Provincia de Valladolid
47,Provincia de Badajoz
47,Provincia de Valladolid
7,Provincia de Baleares
8,Provincia de Barcelona
9,Provincia de Burgos
10,Provincia de Caceres
10,Provincia de Madrid
28,Provincia de Caceres
28,Provincia de Madrid
10,Provincia de Soria
42,Provincia de Caceres
42,Provincia de Soria
11,Provincia de Cadiz
12,Provincia de Castellon
17,Provincia de Castellon
13,Provincia de Ciudad Real
13,Provincia de Valladolid
47,Provincia de Ciudad Real
14,Provincia de Cordoba
15,Provincia de A Coruña
15,Provincia de Girona
15,Provincia de Madrid
15,Provincia de Navarra
31,Provincia de A Coruña
31,Provincia de Navarra
15,Provincia de Leon
24,Provincia de A Coruña
24,Provincia de Leon
16,Provincia de Cuenca
16,Provincia de Navarra
31,Provincia de Cuenca
16,Provincia de Santa Cruz de Tenerife
16,Provincia de Las Palmas
35,Provincia de Cuenca
35,Provincia de Las Palmas
17,Provincia de Girona
17,Provincia de Asturias
33,Provincia de Asturias
17,Provincia de Valencia
46,Provincia de Valencia
46,Provincia de Girona
18,Provincia de Granada
19,Provincia de Guadalajara
20,Provincia de Gipuzkoa
21,Provincia de Huelva
21,Provincia de Valladolid
47,Provincia de Huelva
22,Provincia de Huesca
23,Provincia de Jaen
25,Provincia de Lleida
26,Provincia de La Rioja
27,Provincia de Lugo
28,Provincia de Tarragona
43,Provincia de Madrid
43,Provincia de Tarragona
29,Provincia de Malaga
30,Provincia de Murcia
30,Provincia de Cantabria
39,Provincia de Murcia
39,Provincia de Cantabria
32,Provincia de Ourense
34,Provincia de Palencia
36,Provincia de Pontevedra
38,Provincia de Santa Cruz de Tenerife
38,Caceres
39,Provincia de Zamora
49,Provincia de Zamora
49,Provincia de Cantabria
40,Provincia de Segovia
41,Provincia de Sevilla
44,Provincia de Teruel
44,Provincia de Zamora
49,Provincia de Teruel
45,Provincia de Toledo
45,Provincia de Malaga
45,Provincia de Madrid
48,Provincia de Bizkaia
50,Provincia de Zaragoza
51,Ceuta
52,Melilla
